Date,Category,Amount,Payment_Mode
2023-09-26 12:36:44,Shopping,1743.0,UPI
2023-07-06 06:41:18,,1732.0,UPI
2023-09-27 23:57:30,Food,4802.0,Card
2023-11-07 20:42:47,Bills,,Cash
2023-09-02 00:03:08,Food,880.0,Cash
2023-06-04 02:38:12,,3725.0,Card
2023-01-26 20:41:29,Food,1419.0,Cash
2023-11-06 10:37:10,Travel,790.0,UPI
2023-06-18 19:43:06,Bills,166.0,Cash
2023-11-01 10:04:58,Bills,2888.0,UPI
2023-12-05 02:05:11,,1200.0,Card
2023-10-05 13:30:28,Travel,1981.0,Cash
2023-04-22 10:35:19,Shopping,1062.0,Card
2023-09-03 22:41:27,Food,1714.0,Cash
2023-05-02 20:07:30,Others,1131.0,UPI
2023-09-04 12:54:45,Food,4779.0,Card
2023-03-27 16:54:12,Food,562.0,Cash
2023-02-27 15:45:05,Shopping,2899.0,UPI
2023-06-11 11:56:07,Food,609.0,Card
2023-08-03 15:08:27,Travel,3722.0,Card
2023-02-22 07:56:13,Travel,4633.0,Cash
2023-03-11 16:11:17,Bills,3393.0,Cash
2023-02-08 17:06:09,,4120.0,Cash
2023-04-17 06:05:51,Others,4849.0,UPI
2023-01-02 04:42:35,Food,1520.0,Cash
2023-07-04 18:33:56,Food,630.0,Card
2023-01-15 14:45:52,Shopping,2344.0,Card
2023-04-24 05:57:13,,3197.0,Cash
2023-03-07 13:33:09,Travel,4299.0,Cash
2023-12-18 06:26:04,Others,1729.0,Card
2023-04-23 05:19:39,Bills,75000.0,UPI
2023-04-18 16:54:08,Travel,2794.0,Cash
2023-03-08 11:17:46,,3406.0,Cash
2023-05-04 04:14:50,Bills,4095.0,Card
2023-03-12 18:16:30,Shopping,1293.0,Cash
2023-11-29 03:10:33,Shopping,3168.0,UPI
2023-06-03 05:08:43,Food,2191.0,Card
2023-09-06 19:49:15,,3109.0,Cash
2023-12-14 07:37:51,Others,4598.0,Card
2023-11-05 15:26:06,Bills,100000.0,Cash
2023-05-27 09:30:37,Travel,2315.0,Cash
2023-08-21 02:15:25,,2529.0,Cash
2023-07-15 03:51:10,,4696.0,UPI
2023-03-01 13:53:01,Shopping,1685.0,UPI
2023-08-05 19:12:50,Food,1807.0,Card
2023-11-16 05:40:06,Food,4502.0,Cash
2023-11-28 11:41:39,Bills,2120.0,Cash
2023-11-18 23:26:55,Shopping,2899.0,UPI
2023-10-17 13:58:16,,3301.0,Cash
2023-01-29 02:33:08,Others,3780.0,UPI
2023-10-25 09:13:22,Shopping,2539.0,Cash
2023-01-31 19:44:06,Bills,1681.0,Card
2023-11-18 05:01:08,Bills,2866.0,Cash
2023-09-15 20:02:16,Shopping,1065.0,Cash
2023-05-07 20:10:14,Bills,,UPI
2023-09-29 01:02:09,Shopping,4661.0,Cash
2023-06-27 14:47:31,Travel,3137.0,Cash
2023-08-22 17:24:40,Shopping,2889.0,UPI
2023-08-22 08:47:55,Shopping,385.0,Card
2023-02-09 04:22:37,Bills,4642.0,Card
2023-07-04 10:01:21,Bills,945.0,UPI
2023-05-10 10:42:01,Food,,UPI
2023-01-17 23:08:09,Food,901.0,UPI
2023-07-14 23:16:04,Travel,1737.0,UPI
2023-08-04 07:28:01,Food,1981.0,UPI
2023-08-14 23:01:39,Shopping,3796.0,Card
2023-11-27 14:19:07,Bills,2477.0,Card
2023-05-12 20:32:46,Food,1618.0,UPI
2023-06-27 18:21:47,Food,4050.0,Cash
2023-08-30 03:08:54,Travel,,UPI
2023-01-31 21:39:55,,3548.0,Cash
2023-05-29 14:30:20,Travel,3963.0,UPI
2023-09-10 00:38:31,Shopping,1116.0,UPI
2023-06-06 00:24:14,Bills,4430.0,Card
2023-03-16 01:13:06,Travel,,Cash
2023-06-02 15:07:57,Food,4157.0,Cash
2023-01-22 15:42:08,Bills,3423.0,Card
2023-02-18 02:14:59,Bills,4019.0,Card
2023-05-07 16:34:57,Food,2596.0,Card
2023-11-08 19:07:19,Travel,803.0,Card
2023-09-24 12:24:35,Food,2132.0,Cash
2023-12-16 03:26:57,,2824.0,Cash
2023-06-13 02:14:21,Bills,2946.0,UPI
2023-08-09 20:43:49,Others,4235.0,UPI
